global_index,avg_mem_grp_idx,layer_index,name,args,dp_args,input_#,output_#,Param_#,dp_index,pp_index,tp_index,opcode,target,layer_type,input_shape,output_shape,param_shape,kwargs,dtype_size,direction,avg_mem_grp_size,compute_density_ops
76,2,100,layer3_2_conv1_0_0_bkwd,"('layer3_2_bn1_0_0_bkwd',)",[],40960,163840,262144,0,0,0,call_module,layer3.2.conv1,Conv2d,"[10, 256, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([256, 1024, 1, 1])}",{},[4],BKWD,3351552,83886080.0
77,2,99,layer3_1_relu_2_0_0_bkwd,"('layer3_2_conv1_0_0_bkwd', 'add_9_0_0_bkwd')",[],163840,163840,0,0,0,0,call_module,layer3.1.relu,ReLU,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",{},{},[4],BKWD,3351552,655360.0
78,2,98,add_8_0_0_bkwd,"('layer3_1_relu_2_0_0_bkwd',)",[],163840,163840,0,0,0,0,call_function,<built-in function add>,,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",0,{},[4],BKWD,3351552,163840.0
79,2,97,layer3_1_bn3_0_0_bkwd,"('add_8_0_0_bkwd',)",[],163840,163840,2048,0,0,0,call_module,layer3.1.bn3,BatchNorm2d,"[10, 1024, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024]), 'bias': torch.Size([1024])}",{},[4],BKWD,3351552,5914624.0
80,2,96,layer3_1_conv3_0_0_bkwd,"('layer3_1_bn3_0_0_bkwd',)",[],163840,40960,262144,0,0,0,call_module,layer3.1.conv3,Conv2d,"[10, 1024, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([1024, 256, 1, 1])}",{},[4],BKWD,3351552,83886080.0
81,2,95,layer3_1_relu_1_0_0_bkwd,"('layer3_1_conv3_0_0_bkwd',)",[],40960,40960,0,0,0,0,call_module,layer3.1.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],BKWD,3351552,163840.0
82,2,94,layer3_1_bn2_0_0_bkwd,"('layer3_1_relu_1_0_0_bkwd',)",[],40960,40960,512,0,0,0,call_module,layer3.1.bn2,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],BKWD,3351552,1478656.0
83,2,93,layer3_1_conv2_0_0_bkwd,"('layer3_1_bn2_0_0_bkwd',)",[],40960,40960,589824,0,0,0,call_module,layer3.1.conv2,Conv2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256, 256, 3, 3])}",{},[4],BKWD,3351552,188743680.0
84,1,92,layer3_1_relu_0_0_bkwd,"('layer3_1_conv2_0_0_bkwd',)",[],40960,40960,0,0,0,0,call_module,layer3.1.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],BKWD,3211200,163840.0
85,1,91,layer3_1_bn1_0_0_bkwd,"('layer3_1_relu_0_0_bkwd',)",[],40960,40960,512,0,0,0,call_module,layer3.1.bn1,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],BKWD,3211200,1478656.0
86,1,90,layer3_1_conv1_0_0_bkwd,"('layer3_1_bn1_0_0_bkwd',)",[],40960,163840,262144,0,0,0,call_module,layer3.1.conv1,Conv2d,"[10, 256, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([256, 1024, 1, 1])}",{},[4],BKWD,3211200,83886080.0
87,1,89,layer3_0_relu_2_0_0_bkwd,"('layer3_1_conv1_0_0_bkwd', 'add_8_0_0_bkwd')",[],163840,163840,0,0,0,0,call_module,layer3.0.relu,ReLU,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",{},{},[4],BKWD,3211200,655360.0
88,1,88,add_7_0_0_bkwd,"('layer3_0_relu_2_0_0_bkwd',)",[],163840,163840,0,0,0,0,call_function,<built-in function add>,,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",0,{},[4],BKWD,3211200,163840.0
89,1,87,layer3_0_downsample_1_0_0_bkwd,"('add_7_0_0_bkwd',)",[],163840,163840,2048,0,0,0,call_module,layer3.0.downsample.1,BatchNorm2d,"[10, 1024, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024]), 'bias': torch.Size([1024])}",{},[4],BKWD,3211200,5914624.0
